CDP Name,County[1],Population,,,
2010 Census[2],Land area[3],Latitude Longitude[4],,,
sqmi,km2,,,,
Quilcene,Jefferson,596,8.81,22.8,47°50′21″N 122°54′44″W
Qui-nai-elt Village,Grays Harbor,54,0.74,1.9,47°15′01″N 124°11′25″W
Raft Island,Pierce,459,0.32,0.83,47°19′44″N 122°40′08″W
Ravensdale,King,"1,101",4.45,11.5,47°21′23″N 121°57′44″W
River Road,Clallam,454,0.35,0.91,48°04′04″N 123°07′39″W
Riverbend,King,"2,132",2.94,7.6,47°27′52″N 121°45′04″W
Rochester,Thurston,"2,388",2.33,6,46°49′44″N 123°04′20″W
Rockport,Skagit,109,0.36,0.93,48°29′07″N 121°36′24″W
Rocky Point,Kitsap,"1,564",0.74,1.9,47°35′18″N 122°40′07″W
Ronald,Kittitas,308,0.93,2.4,47°14′02″N 121°02′01″W
Roosevelt,Klickitat,156,3.79,9.8,45°43′59″N 120°14′12″W
Rosburg,Wahkiakum,317,22.91,59.3,46°18′29″N 123°38′36″W
Rosedale,Pierce,"4,044",4.63,12,47°20′27″N 122°37′59″W
Ryderwood,Cowlitz,395,0.16,0.41,46°22′30″N 123°02′39″W
Salmon Creek,Clark,"19,686",6.35,16.4,45°42′36″N 122°39′48″W
Santiago,Grays Harbor,42,1.57,4.1,47°17′56″N 124°13′55″W
Satsop,Grays Harbor,675,7.02,18.2,47°01′22″N 123°28′59″W
Seabeck,Kitsap,"1,105",3.32,8.6,47°38′39″N 122°49′05″W
Sekiu,Clallam,27,0.13,0.34,48°15′51″N 124°18′05″W
Shadow Lake,King,"2,262",5.2,13.5,47°24′06″N 122°04′10″W
Silvana,Snohomish,90,1.51,3.9,48°12′06″N 122°14′46″W
Silver Firs,Snohomish,"20,891",6.86,17.8,47°51′49″N 122°08′59″W
Silverdale,Kitsap,"19,204",12.63,32.7,47°40′04″N 122°40′55″W
Sisco Heights,Snohomish,"2,696",12.53,32.5,48°07′08″N 122°06′27″W
Skamokawa Valley,Wahkiakum,401,28.19,73,46°18′55″N 123°24′05″W
Skokomish,Mason,617,6.7,17.4,47°19′42″N 123°09′32″W
Snoqualmie Pass,Kittitas,311,2.93,7.6,47°24′05″N 121°24′40″W
South Creek,Pierce,"2,507",7.73,20,47°00′03″N 122°23′27″W
South Hill,Pierce,"52,431",18.36,47.6,47°07′15″N 122°17′07″W
South Wenatchee,Chelan,"1,553",1.16,3,47°23′26″N 120°17′12″W
Southworth,Kitsap,"2,185",3.38,8.8,47°30′50″N 122°31′56″W
Spanaway,Pierce,"27,227",8.77,22.7,47°05′53″N 122°25′24″W
Stansberry Lake,Pierce,"2,101",2.08,5.4,47°22′58″N 122°42′43″W
Startup,Snohomish,676,4.1,10.6,47°52′01″N 121°44′59″W
Steptoe,Whitman,180,2.22,5.7,47°00′27″N 117°21′01″W
Sudden Valley,Whatcom,"6,441",6.25,16.2,48°43′12″N 122°20′54″W
Summit,Pierce,"7,985",5.12,13.3,47°10′10″N 122°21′49″W
Summit View,Pierce,"7,236",3.24,8.4,47°08′11″N 122°21′07″W
Summitview,Yakima,967,2.53,6.6,46°35′53″N 120°39′05″W
Sunday Lake,Snohomish,640,1.73,4.5,48°13′49″N 122°16′04″W
Sunnyslope,Chelan,"3,252",9.56,24.8,47°28′56″N 120°20′32″W
Suquamish,Kitsap,"4,140",6.83,17.7,47°43′33″N 122°35′18″W
